i,g,d,sfa,b0,year,b,kind
0.025,0.04,0.0,0,1,4,0.9435438850188858,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,5,0.9299350789849593,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,6,0.9165225538072914,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,7,0.9033034785119938,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,8,0.8902750629565321,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,9,0.8774345572408128,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,10,0.8647792511267625,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,1,1.005576923076923,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,2,1.0110734097633132,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,3,1.016490620199419,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,4,1.0218296977926966,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,5,1.027091769459148,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,6,1.0322779458611793,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,7,1.0373893216420276,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,8,1.0424269756568059,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,9,1.047391971200217,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.02,0,1,10,1.052285356230983,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,1,1.025576923076923,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,2,1.0507849482248517,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,3,1.0756293960869932,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,4,1.1001155105665075,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,5,1.1242484599333364,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,6,1.1480333379150671,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,7,1.1714751647720612,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,8,1.1945788883570794,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,9,1.2173493851596213,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.04,0,1,10,1.2397914613352035,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,1,0.971563981042654,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,2,0.9439365692594505,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,3,0.9170947710814565,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,4,0.8910162467853013,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,5,0.8656792919004112,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,6,0.8410628191449492,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,7,0.8171463408754245,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,8,0.793909952035365,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,9,0.7713343135888616,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.0,0,1,10,0.7494006364251973,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,1,0.991563981042654,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,2,0.9833678488803036,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,3,0.9754047820874987,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,4,0.9676681532129726,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,5,0.9601515232637885,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,6,0.9528486363463348,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,7,0.9457534144597091,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,8,0.938859952437158,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,9,0.932162513031362,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.02,0,1,10,0.9256555221394749,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,1,1.011563981042654,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,2,1.0227991285011566,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,3,1.0337147930935406,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,4,1.0443200596406437,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,5,1.0546237546271655,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,6,1.06463445354772,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,7,1.0743604880439932,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,8,1.0838099528389507,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,9,1.092990712473862,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.055,0.04,0,1,10,1.1019104078537523,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,1,1.0146341463414634,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,2,1.0294824509220701,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,3,1.0445480477648321,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,4,1.0598341167565126,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,5,1.075343884318803,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,6,1.091080624089322,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,7,1.1070476576125805,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,8,1.1232483550410572,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,9,1.1396861358465362,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.0,0,1,10,1.1563644695418513,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,1,1.0346341463414634,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,2,1.0697751338488994,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,3,1.1054303797101028,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,4,1.14160740965708,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,5,1.1783138595545009,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,6,1.215557477011396,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,7,1.2533461230164409,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,8,1.2916877735971692,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,9,1.3305905215034692,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.02,0,1,10,1.3700625779157152,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,1,1.0546341463414635,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,2,1.1100678167757287,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,3,1.1663127116553735,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,4,1.2233807025576473,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,5,1.2812838347901983,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,6,1.3400343299334696,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,7,1.3996445884203008,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,8,1.4601271921532808,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,9,1.521494907160402,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.025,0.04,0,1,10,1.5837606862895788,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,1,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,2,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,3,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,4,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,5,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,6,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,7,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,8,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,9,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.0,0,1,10,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,1,1.02,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,2,1.04,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,3,1.06,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,4,1.08,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,5,1.1,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,6,1.12,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,7,1.1400000000000001,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,8,1.1600000000000001,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,9,1.1800000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.02,0,1,10,1.2000000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,1,1.04,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,2,1.08,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,3,1.12,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,4,1.1600000000000001,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,5,1.2000000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,6,1.2400000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,7,1.2800000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,8,1.3200000000000003,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,9,1.3600000000000003,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.04,0.04,0,1,10,1.4000000000000004,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,1,0.9857819905213271,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,2,0.9717661328361898,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,3,0.9579495527484716,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,4,0.9443294169274034,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,5,0.9309029323265399,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,6,0.9176673456109967,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,7,0.904619942592831,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,8,0.8917580476744495,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,9,0.8790790232999314,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.0,0,1,10,0.8665802694141505,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,1,1.005781990521327,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,2,1.0114817726466163,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,3,1.0171005152156218,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,4,1.0226393704495231,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,5,1.0280994741872078,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,6,1.0334819461181954,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,7,1.0387878900122496,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,8,1.0440183939457248,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,9,1.0491745305246956,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.02,0,1,10,1.0542573571049132,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,1,1.025781990521327,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,2,1.051197412457043,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,3,1.0762514776827723,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,4,1.100949323971643,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,5,1.1252960160478758,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,6,1.1492965466253942,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,7,1.1729558374316682,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,8,1.196278740217,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,9,1.2192700377494599,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.04,0.055,0.04,0,1,10,1.2419344447956762,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,1,1.0292682926829269,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,2,1.0593932183224273,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,3,1.090399849102596,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,4,1.12231399102755,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,5,1.155162205399088,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,6,1.1889718309229638,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,7,1.2237710064621725,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,8,1.2595886944561874,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,9,1.2964547050256368,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.0,0,1,10,1.3343997207824847,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,1,1.0492682926829269,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,2,1.0999785841760858,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,3,1.152173079322703,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,4,1.205895218229709,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,5,1.261189712421798,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,6,1.3181025820536554,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,7,1.3766811942113233,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,8,1.4369743023345816,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,9,1.4990320867931548,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.02,0,1,10,1.5629061966505156,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,1,1.069268292682927,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,2,1.1405639500297444,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,3,1.2139463095428102,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,4,1.2894764454318681,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,5,1.3672172194445082,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,6,1.4472333331843477,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,7,1.529591381960475,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,8,1.6143599102129766,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,9,1.7016094685606735,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.025,0.04,0,1,10,1.791412672518547,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,1,1.0144230769230769,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,2,1.0290541789940828,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,3,1.043896306575728,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,4,1.0589525033051856,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,5,1.0742258567182412,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,6,1.0897194988824466,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,7,1.1054366070394048,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,8,1.1213804042563194,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,9,1.1375541600869392,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.0,0,1,10,1.1539611912420393,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,1,1.034423076923077,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,2,1.0693426405325444,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,3,1.1047658516940715,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,4,1.1406999745550437,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,5,1.177152378034203,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,6,1.2141305373327733,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,7,1.2516420354673805,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,8,1.289694564825083,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,9,1.3282959287408294,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.02,0,1,10,1.3674540430976683,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,1,1.054423076923077,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,2,1.109631102071006,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,3,1.1656353968124147,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,4,1.2224474458049015,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,5,1.2800788993501644,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,6,1.3385415757830994,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,7,1.3978474638953555,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,8,1.4580087253938463,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,9,1.519037697394719,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.04,0.04,0,1,10,1.5809468949532968,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,1,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,2,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,3,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,4,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,5,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,6,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,7,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,8,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,9,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.0,0,1,10,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,1,1.02,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,2,1.04,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,3,1.06,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,4,1.08,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,5,1.1,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,6,1.12,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,7,1.1400000000000001,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,8,1.1600000000000001,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.055,0.055,0.02,0,1,9,1.1800000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
